game_date,player_name,events,hc_x,hc_y,
6/20/08,Joey Votto,field_error,148.59,159.64,0.999338909
7/19/08,Joey Votto,triple,208.84,96.39,0.997886408
8/22/08,Joey Votto,field_out,41.16,58.23,0.99724149
8/8/08,Joey Votto,grounded_into_double_play,151.61,167.67,0.997036165
6/22/08,Joey Votto,single,103.41,81.33,0.996650666
6/25/08,Joey Votto,force_out,137.55,157.63,0.992687369
9/12/08,Joey Votto,field_out,124.5,50.2,0.990740749
9/3/08,Joey Votto,field_out,148.59,167.67,0.990575007
7/27/08,Joey Votto,field_out,71.29,89.36,0.987069154
4/8/08,Joey Votto,single,115.46,105.42,0.985271319
9/14/08,Joey Votto,single,122.49,83.33,0.984738206
9/3/08,Joey Votto,field_out,146.59,160.64,0.981094927
5/7/08,Joey Votto,home_run,59.24,26.1,0.979418904
4/11/08,Joey Votto,single,70.28,131.53,0.979083104
6/15/08,Joey Votto,double,165.66,45.18,0.978833049
7/30/08,Joey Votto,double,77.31,49.2,0.977047386
5/12/08,Joey Votto,field_out,112.45,152.61,0.973801866
6/7/08,Joey Votto,field_out,72.29,122.49,0.971223177
7/19/08,Joey Votto,single,108.43,93.37,0.968281037
5/19/08,Joey Votto,field_out,110.44,153.61,0.967371836
8/29/08,Joey Votto,single,132.53,106.43,0.96507329
6/17/08,Joey Votto,single,70.28,136.55,0.9649447
9/16/08,Joey Votto,field_out,152.61,163.65,0.962018737
6/21/08,Joey Votto,single,87.35,104.42,0.958902574
7/30/08,Joey Votto,single,64.26,146.59,0.956885022
7/11/08,Joey Votto,field_out,87.35,157.63,0.956302496
6/26/08,Joey Votto,field_out,147.59,164.66,0.955715024
4/30/08,Joey Votto,field_out,119.48,86.35,0.954890606
5/13/08,Joey Votto,single,75.3,95.38,0.954231267
9/6/08,Joey Votto,field_out,116.47,160.64,0.952735695
6/17/08,Joey Votto,field_out,144.58,157.63,0.952415184
7/11/08,Joey Votto,field_out,136.55,80.32,0.945614119
5/30/08,Joey Votto,field_out,156.63,163.65,0.943595247
8/24/08,Joey Votto,double,63.25,30.12,0.941503894
6/1/08,Joey Votto,field_out,79.32,98.39,0.939940813
6/11/08,Joey Votto,field_out,141.57,80.32,0.93896854
5/17/08,Joey Votto,single,70.28,119.48,0.933545105
4/11/08,Joey Votto,field_out,104.42,61.24,0.933434647
5/3/08,Joey Votto,field_out,109.44,148.59,0.930057925
8/30/08,Joey Votto,single,175.7,118.47,0.925865207
9/6/08,Joey Votto,field_out,129.52,184.74,0.925762915
6/6/08,Joey Votto,force_out,139.56,165.66,0.925683789
6/4/08,Joey Votto,double,52.21,115.46,0.920903488
5/12/08,Joey Votto,field_out,143.57,153.61,0.919037062
4/27/08,Joey Votto,field_out,146.59,173.69,0.911098826
4/26/08,Joey Votto,single,133.53,103.41,0.910767768
7/29/08,Joey Votto,field_out,142.57,152.61,0.907853813
5/2/08,Joey Votto,field_out,161.65,165.66,0.905559582
9/13/08,Joey Votto,field_out,146.59,146.59,0.904726468
5/7/08,Joey Votto,home_run,82.33,22.09,0.904395765
6/3/08,Joey Votto,field_out,156.63,152.61,0.898724268
7/27/08,Joey Votto,field_out,130.52,72.29,0.894211457
4/22/08,Joey Votto,double,78.31,42.17,0.894203845
8/7/08,Joey Votto,single,167.67,111.45,0.890435035
4/4/08,Joey Votto,field_out,115.46,147.59,0.888724301
6/7/08,Joey Votto,field_out,70.28,103.41,0.888487555
9/23/08,Joey Votto,triple,73.29,67.27,0.887955379
6/12/08,Joey Votto,field_out,142.57,171.69,0.885264871
7/8/08,Joey Votto,field_out,51.2,90.36,0.885229184
7/29/08,Joey Votto,double_play,114.46,147.59,0.883060307
9/22/08,Joey Votto,home_run,233.94,60.24,0.880334992
5/23/08,Joey Votto,field_out,137.55,149.6,0.87643582
4/12/08,Joey Votto,single,143.57,86.35,0.874561932
9/19/08,Joey Votto,home_run,213.86,39.16,0.8734916
8/4/08,Joey Votto,field_out,39.16,88.35,0.871060568
